ch_name,h_name,ch_i,h_i,l_i,i,word,fn,x
ppl,others,3,5,32,3.5.32,"the place, duration and impact on your pris are the basic measurements of a rltp.",def,
ppl,others,3,5,33,3.5.33,"pick work and rltps, including friends, that maximize your other pris including possibly one that maximizes time and money to apply to other pris.",plan,
ppl,others,3,5,34,3.5.34,maximally align with norms with least compromise to pris. get along with ppl.,plan,
ppl,others,3,5,35,3.5.35,"ppl are the part of pris that require the most care, and fewest words.",def,
ppl,others,3,5,36,3.5.36,a good rltp is a contract of the reciprocated actions (use) between two ppl.,def,
ppl,others,3,5,37,3.5.37,"a bad rltp is hyped mutual bets (unaligned with actions), that waste time.",def,is
bet,BET,4,0,4,4.0.4,"#	bet",,
bet,main,4,0,1,4.0.1,you can't help but think how to make your life better.,plan,
bet,main,4,0,2,4.0.2,"you can take control of your life, or you can let the world bet for you. you can commit yourself to finding out which thoughts are right or you can commit yourself to finding out which thoughts are right or leave it to chance to have better life.",plan,
bet,main,4,0,2,4.0.2,"leave it to chance to have better life. betting is a protocol to guide you to reality, and, if you're lucky, your",plan,
bet,main,4,0,3,4.0.3,"a commitment is the first step, but far from the last.",def,is
bet,main,4,0,4,4.0.4,"if you want your dreams to become real, listen to your doubts.",plan,
bet,main,4,0,5,4.0.5,then test them.,plan,
bet,main,4,0,6,4.0.6,winning means your reality is one step toward your goal.,def,is
bet,main,4,0,7,4.0.7,losing is the wake-up call to be more realistic.,def,is
bet,main,4,0,8,4.0.8,"betting is a protocol to guide you to reality, and, if you're lucky, your dreams might fit in.",def,
bet,main,4,0,9,4.0.9,how real will your dreams get before you die?,plan,
bet,stranger,4,1,0,4.1.0,stranger,,
bet,stranger,4,1,10,4.1.10,"a stranger comes to your garden at the end of a long day, which you realize only when you hear him chopping his jaw at you. you look up.",example,imagine
bet,stranger,4,1,11,4.1.11,"""no really, consider it, right now. imagine the most realistic, attainable, best life you could have.",example,imagine
bet,stranger,4,1,12,4.1.12,imagine taking the first step and then stay with the thought. listen to the fear that surfaces.,example,imagine
bet,stranger,4,1,13,4.1.13,"for the moment, never mind how the world has gotten in your way.",plan,
bet,stranger,4,1,14,4.1.14,"how are you in your own way?""",def,
bet,stranger,4,1,15,4.1.15,he seems to be in your way. he's staring past your wet forehead.,example,imagine
bet,stranger,4,1,16,4.1.16,"""see your doubts with curiosity. now bet on what you tell yourself you believe. bet on overcoming them.""",plan,
bet,stranger,4,1,17,4.1.17,"but you mostly only think of frustration and say, ""i appreciate the suggestion.""",example,imagine
bet,stranger,4,1,18,4.1.18,"""let's both bet. name what you believe you can accomplish tomorrow, in terms of what you think holds you back most.",example,imagine
bet,stranger,4,1,19,4.1.19,"if you make it happen before sun-up, you'll be over the most daunting hurdle between you and your outcome.",example,imagine
bet,stranger,4,1,20,4.1.20,"and i'll give you the equivalent of your harvest, today. if you fail, you leave me today's harvest.""",example,imagine
bet,stranger,4,1,21,4.1.21,"""okay,"" you say. you'll show him.",example,imagine
bet,stranger,4,1,22,4.1.22,"""the rocks on the far field. they're on a slippery slope. to build the home i want, i need those rocks, but i'm afraid of falling. i've collected every rock on my land and i need those rocks. tomorrow i'll finish my foundation with rocks from the slippery slope.""",example,imagine
bet,stranger,4,1,23,4.1.23,"the stranger and you have set up a bet, a type of belief.",example,imagine
bet,bet,4,2,0,4.2.0,bet,,
bet,bet,4,2,24,4.2.24,"a bet is a plan template for reconciling reality with chud, to accomplish goals.",def,
bet,bet,4,2,25,4.2.25,"betting is confronting costs, habits, unknowns and doubts that stand in the way of your wants and dreams.",def,is
bet,bet,4,2,26,4.2.26,"the time that passes and the status of your goal when it runs out are an intersection of reality: the world and you. to name them, is to shed chud.",def,
bet,bet,4,2,27,4.2.27,"every idea you hold is a bet with a rolling deadline, idiosyncratic successes, and revisions.",def,
bet,bet,4,2,28,4.2.28,"bet wins shorten your plan, and the distance to your goal. losses should guide revisions to your chud.",def,
bet,bet,4,2,29,4.2.29,"to bet, name:",plan,
bet,bet,4,2,29.1,4.2.29.1,"a step in your plan,",plan,
bet,bet,4,2,29.2,4.2.29.2,"a deadline to achieve it, and",plan,
bet,bet,4,2,29.3,4.2.29.3,the c.h.u.d. for that duration.,plan,
bet,bet,4,2,30,4.2.30,"blitz to revise and win, and log your actions.",plan,
bet,bet,4,2,31,4.2.31,"when the deadline arrives, take stock.",plan,
bet,bet,4,2,31.1,4.2.31.1,compare your action log to your plan.,plan,
bet,bet,4,2,31.2,4.2.31.2,identify chud factors that best explain discrepancies.,plan,
bet,bet,4,2,31.3,4.2.31.3,"revise plan, updated with chud factor predictions.",plan,
bet,bet,4,2,31.4,4.2.31.4,"(record time to do the next bet or goal, revise, etc.)",plan,
bet,bet,4,2,31.5,4.2.31.5,start the next bet or goal.,plan,
bet,after,4,3,0,4.3.0,after,,
bet,after,4,3,32,4.3.32,"the next morning you woke to a field in disarray and a letter. you had worked harder than you planned, and still fell short of your goal.",example,imagine
bet,after,4,3,33,4.3.33,"""if you did more than you would have without the bet, you won something, including evidence that there is some commitment in you to make your dreams come true.""",def,
bet,after,4,3,34,4.3.34,"the biggest reward is not positive: accept you failed,",def,is
bet,after,4,3,35,4.3.35,and partly due to a miscalculation.,def,
bet,after,4,3,36,4.3.36,"therefore, likely other parts of your plan are misguided, and your goal is further than you estimate.",def,
bet,after,4,3,37,4.3.37,"if you disagree, let's bet again. first, take a minute to learn from your planning mistake.",plan,
bet,c.h.u.d.,4,4,0,4.4.0,c.h.u.d.,,
bet,c.h.u.d.,4,4,38,4.4.38,"even if you make a plan and bet on it, you can fail.",def,
bet,c.h.u.d.,4,4,39,4.4.39,why don't we achieve our goals?,plan,q
bet,c.h.u.d.,4,4,40,4.4.40,"here are the four critical aspects of success,",def,
bet,c.h.u.d.,4,4,41,4.4.41,"and, by extension, clues for why we fail.",def,
bet,c.h.u.d.,4,4,42,4.4.42,"chud encompasses the changes in you, the world, and your goal for you to achieve it.",def,
bet,cost,4,5,0,4.5.0,cost,,
bet,cost,4,5,43,4.5.43,costs ([c2.51][self]) and habits are knowable facts.,def,
bet,cost,4,5,44,4.5.44,observers could independently note and agree on your costs and habits.,example,could
bet,cost,4,5,45,4.5.45,costs are the unadjusted record of transactions in your life.,def,
bet,cost,4,5,46,4.5.46,referring to cost is referring to typical transactions for a goal.,def,is
bet,cost,4,5,47,4.5.47,"for example, a relationship with an alcoholic poses a risk of violence.",example,
bet,habit,4,6,0,4.6.0,habit,,
bet,habit,4,6,48,4.6.48,"the unadjusted, plain record of everything you have physically done, is your habit.",def,is
bet,habit,4,6,49,4.6.49,referring to habit is referring to patterns of behavior.,def,is
bet,habit,4,6,50,4.6.50,"for example, i eat every morning before 9 am.",example,
bet,habit,4,6,50.1,4.6.50.1,habits are your most likely and reliable food or cake actions.,def,
bet,habit,4,6,50.2,4.6.50.2,bad habits are forces working against your goals.,def,
bet,habit,4,6,50.3,4.6.50.3,good habits are aligned with goals.,def,
bet,unknown,4,7,0,4.7.0,unknown,,
bet,unknown,4,7,51,4.7.51,unknowns and doubts are the gap between your real and perceived costs and habits.,def,
bet,unknown,4,7,52,4.7.52,"if you have not arrived at the goal, there are unknowns.",def,
bet,unknown,4,7,53,4.7.53,unknowns are all that are fully out of your control (analogous to statistical 'error').,def,
bet,unknown,4,7,54,4.7.54,"for example, a train might stop you from arriving on time.",example,
bet,unknown,4,7,55,4.7.55,unknowns are reduced by estimating causes of failure.,def,
bet,unknown,4,7,56,4.7.56,for example:,example,
bet,unknown,4,7,56.1,4.7.56.1,"i will die, but not know how or when. the cause is unknown.",def,is
bet,unknown,4,7,56.2,4.7.56.2,"i will die due to a natural disaster or cancer. the cause is named, and the unknown is pushed to those things' underlying causes.",def,is
bet,doubt,4,8,0,4.8.0,doubt,,
bet,doubt,4,8,57,4.8.57,doubts are misperceptions caused or perpetuated by your habit.,def,
bet,doubt,4,8,58,4.8.58,"like costs, doubts are the patterns of unknown.",def,
bet,doubt,4,8,59,4.8.59,doubt is any systematic error that is possible to be addressed by another human of equal ability and resources.,def,
bet,doubt,4,8,60,4.8.60,"for example, ""self-fulfilled prophesies"", irrational fear or anxiety.",example,
bet,doubt,4,8,61,4.8.61,good doubts temper an optimistic plan.,def,
bet,doubt,4,8,62,4.8.62,"otherwise (bad) doubts: fuel bad habits and fantasies. like fear, anxiety, and jealousy, reflect overestimations. like narrow-mindedness, reflect underestimations. like distraction and boredom can be: anxiety about your future. discomfort toward present reality or distrust in your past.",def,
bet,doubt,4,8,63,4.8.63,"most of these issues, if deep enough, require therapy.",def,
bet,doubt,4,8,64,4.8.64,or the [intellectual bootcamp].,def,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
